TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1473101032,"North Station","2205","Haverhill",1473101100,0,"2","All Aboard"
1473101032,"North Station","2407","Fitchburg",1473103800,0,,"On Time"
1473101032,"North Station","2309","Lowell",1473105600,0,,"On Time"
1473101032,"North Station","2157","Newburyport",1473107400,0,,"On Time"
1473101032,"North Station","2109","Rockport",1473111000,0,,"On Time"
1473101032,"North Station","2207","Haverhill",1473112200,0,,"On Time"
1473101032,"North Station","2311","Lowell",1473112800,0,,"On Time"
1473101032,"North Station","2409","Fitchburg",1473112800,0,,"On Time"
1473101032,"North Station","2159","Newburyport",1473117300,0,,"On Time"
1473101032,"North Station","2313","Lowell",1473120000,0,,"On Time"
1473101032,"North Station","2411","Fitchburg",1473120000,0,,"On Time"
1473101032,"North Station","2111","Rockport",1473121800,0,,"On Time"
1473101032,"North Station","2209","Haverhill",1473122400,0,,"On Time"
1473101032,"North Station","2161","Newburyport",1473128400,0,,"On Time"
1473101032,"North Station","2315","Lowell",1473132600,0,,"On Time"
1473101032,"North Station","2211","Haverhill",1473132600,0,,"On Time"
1473101032,"North Station","2413","Fitchburg",1473132600,0,,"On Time"
1473101032,"South Station","2079","Greenbush",1473101100,0,"11","All Aboard"
1473101032,"South Station","2767","Readville",1473101400,0,"8","Now Boarding"
1473101032,"South Station","2711","Forge Park / 495",1473103200,0,,"On Time"
1473101032,"South Station","2009","Middleboro/Lakeville",1473104100,0,,"On Time"
1473101032,"South Station","2769","Readville",1473105000,0,,"On Time"
1473101032,"South Station","2037","Kingston",1473106200,0,,"On Time"
1473101032,"South Station","2511","Worcester / Union Station",1473106800,0,,"On Time"
1473101032,"South Station","2811","Providence",1473107700,0,,"On Time"
1473101032,"South Station","2771","Readville",1473108600,0,,"On Time"
1473101032,"South Station","2081","Greenbush",1473109800,0,,"On Time"
1473101032,"South Station","2055","Plymouth",1473110400,0,,"On Time"
1473101032,"South Station","2713","Forge Park / 495",1473110400,0,,"On Time"
1473101032,"South Station","2011","Middleboro/Lakeville",1473111600,0,,"On Time"
1473101032,"South Station","2773","Readville",1473112200,0,,"On Time"
1473101032,"South Station","2513","Worcester / Union Station",1473114000,0,,"On Time"
